EmpID,Total Employment Time,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,State,JobFunctionDescription,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Turnover,Age
3446,853,2,2674,0,0,2,0,1,0,4,6,23,27,0,4,0,0,2,0,26
3447,51,2,2056,1,1,2,2,1,1,4,9,23,73,0,0,3,1,3,0,58
3448,441,2,2227,7,1,1,0,2,3,4,4,23,68,1,0,3,1,3,1,64
3449,223,2,253,2,1,0,1,2,1,4,10,3,73,1,1,2,1,5,0,30
3450,753,2,2603,3,0,0,2,2,2,4,6,3,53,1,3,2,0,2,1,28
3451,623,2,1990,8,0,0,2,0,4,4,9,3,73,1,3,0,0,3,1,55
3452,853,2,772,6,0,2,0,1,0,4,9,8,38,1,1,0,1,2,0,76
3453,853,2,926,9,0,0,2,1,0,4,7,10,30,1,4,3,1,4,0,40
3454,853,2,366,6,0,1,2,0,0,2,9,9,38,1,2,1,2,4,0,52
3455,413,2,679,9,0,1,2,2,2,4,15,9,50,1,3,3,0,4,1,23
3456,853,2,1886,4,0,1,0,2,0,4,6,9,73,0,1,0,1,3,0,76
3457,853,2,2486,5,0,1,1,2,0,4,4,9,73,0,4,0,2,3,0,75
3458,430,2,901,0,1,0,0,0,4,4,6,23,47,0,2,2,2,3,0,26
3459,460,2,987,1,1,2,0,0,3,4,9,23,69,1,1,3,0,2,1,78
3460,853,2,807,7,0,1,0,0,0,4,0,23,48,1,0,1,1,3,0,78
3461,741,2,2684,2,1,1,2,1,2,4,9,3,38,1,2,1,2,1,1,25
3462,45,2,389,3,0,0,0,0,1,4,6,3,22,1,2,0,2,3,1,80
3463,473,2,1341,8,0,2,0,2,3,4,6,8,76,1,2,2,1,1,1,71
3464,153,2,1869,6,0,0,1,0,1,4,18,10,51,1,1,3,2,5,1,24
3465,853,2,925,9,0,1,1,0,0,4,9,10,37,1,0,0,2,3,0,61
3466,403,2,1411,6,0,2,2,0,3,2,0,9,70,1,3,1,0,4,0,43
3467,853,2,2021,9,0,0,0,1,0,4,7,9,30,0,0,0,0,1,0,35
3468,853,2,146,4,0,0,1,2,0,4,23,9,38,0,1,2,1,4,0,24
3469,791,2,1141,5,1,0,1,0,2,4,6,23,28,0,0,0,2,3,0,77
3470,388,2,1024,0,1,0,2,1,3,4,6,23,73,0,1,1,2,3,1,25
3471,853,2,1394,1,0,2,2,2,0,4,6,23,38,1,0,1,1,4,0,56
3472,853,2,1327,7,0,0,2,0,0,4,14,23,25,1,3,1,0,4,0,40
3473,853,2,822,2,0,2,0,2,0,4,18,3,50,1,2,3,0,2,0,72
3474,853,2,154,3,0,1,0,2,0,4,2,3,47,1,3,0,1,2,0,57
3475,573,2,2321,8,0,1,2,2,2,4,9,8,38,1,0,3,1,2,0,65
3476,296,2,2451,6,0,2,0,2,4,4,7,10,30,1,0,0,2,2,0,77
3477,853,2,2144,6,0,2,0,0,0,2,0,9,47,0,0,3,2,2,0,53
3478,65,2,2353,9,0,1,2,2,2,4,23,9,41,0,2,1,1,2,1,65
3479,300,2,1835,4,0,0,0,1,1,4,14,23,73,0,2,3,1,2,0,60
3480,420,2,957,5,1,1,2,2,3,4,2,23,70,0,1,3,1,1,1,76
3481,748,2,331,0,1,1,2,1,4,4,23,23,69,1,3,3,1,4,1,57
3482,494,2,1917,1,1,1,0,2,2,4,2,23,48,1,0,0,2,2,1,32
3483,853,2,1709,7,0,2,1,2,0,4,14,3,22,1,0,3,1,1,0,58
3484,853,2,110,2,0,2,1,0,0,4,9,3,52,1,3,2,1,4,0,27
3485,853,2,2239,3,0,0,2,0,0,4,6,3,47,1,4,3,1,5,0,28
3486,280,2,2875,8,0,2,2,2,1,4,7,8,30,1,3,3,1,4,0,32
3487,853,2,1319,0,0,0,1,1,0,4,11,9,4,0,3,0,1,4,0,28
3488,853,2,2551,1,0,0,1,0,0,4,23,9,48,0,0,2,1,2,0,25
3489,853,2,1339,2,0,2,0,2,0,4,6,23,47,0,1,0,1,2,0,69
3490,853,2,639,3,0,2,0,1,0,4,11,23,25,0,2,0,1,2,0,31
3491,853,2,2796,4,0,0,1,0,0,4,6,23,28,1,4,3,1,5,0,49
3492,853,2,255,5,0,1,2,0,0,4,9,3,18,1,0,1,1,1,0,30
3493,853,2,971,6,0,1,2,0,0,4,14,3,59,1,0,3,1,5,0,38
3494,853,2,1128,7,0,0,1,0,0,4,9,3,73,1,1,2,1,4,0,28
3495,351,2,664,8,0,2,1,2,3,4,23,8,47,1,3,1,1,4,0,29
3496,853,2,271,9,0,0,0,1,0,4,11,2,4,1,3,3,1,5,0,58
3497,853,2,1629,8,0,2,2,2,0,4,14,19,48,0,2,3,1,1,0,41
3498,574,2,2272,6,0,1,0,0,4,4,11,9,47,0,4,3,1,2,0,24
3499,83,2,2243,9,0,2,2,2,1,4,6,9,73,0,0,3,1,5,1,51
3500,582,2,418,4,0,1,1,1,4,4,18,23,51,0,4,0,1,1,1,22
3501,689,2,823,5,1,2,0,1,3,4,9,23,73,1,3,3,1,4,1,63
3502,853,2,178,0,0,1,2,2,0,4,19,23,29,1,4,1,1,1,0,46
3503,853,2,977,1,0,2,0,2,0,4,14,3,50,1,3,2,1,4,0,71
3504,853,2,1021,7,0,1,1,1,0,4,9,3,47,1,2,1,1,2,0,42
3505,853,2,2041,2,0,0,1,2,0,4,6,8,41,1,2,3,1,1,0,79
3506,145,2,1434,3,0,1,1,2,4,4,6,8,73,1,3,1,1,2,0,34
3507,719,2,1397,8,0,1,0,0,3,4,14,2,50,1,4,2,1,4,0,49
3508,853,2,2836,1,0,1,1,1,0,4,0,19,47,1,0,2,1,5,0,80
3509,853,2,1839,0,0,2,2,0,0,4,11,9,57,0,1,1,1,2,0,45
3510,853,2,1271,6,0,2,0,0,0,4,9,9,47,0,2,1,1,2,0,66
3511,148,2,2567,9,0,2,1,0,2,4,8,9,25,0,0,0,1,4,1,25
3512,644,2,1771,4,1,0,2,2,4,4,24,23,22,0,1,2,1,2,0,26
3513,320,2,2559,5,1,0,2,2,1,4,9,23,47,1,3,1,1,5,0,63
3514,853,2,228,0,0,1,1,1,0,4,23,23,50,1,0,1,1,1,0,65
3515,332,2,1903,1,1,2,0,1,3,4,8,3,21,1,4,2,1,4,1,25
3516,345,2,953,7,0,0,1,1,3,4,14,3,22,1,0,0,1,5,0,34
3517,853,2,431,2,0,2,0,1,0,4,19,8,69,1,2,3,1,4,0,81
3518,480,2,512,3,0,0,1,1,1,4,10,2,22,0,2,1,1,2,1,53
3519,688,2,655,8,0,2,2,2,2,4,0,2,41,1,2,3,1,2,1,71
3520,711,2,2705,8,0,1,2,2,1,4,14,14,50,0,1,0,1,1,0,59
3521,853,2,1959,9,0,0,2,1,0,4,9,9,29,0,0,0,1,4,0,73
3522,853,2,2019,0,0,1,2,1,0,4,19,9,69,0,3,2,1,1,0,39
3523,458,2,2807,1,0,1,0,2,2,4,9,9,47,0,3,2,1,2,1,44
3524,338,2,17,2,1,0,1,0,2,4,6,23,47,1,0,0,1,2,1,23
3525,251,2,2606,3,1,0,1,2,3,4,9,23,38,1,2,2,1,2,0,55
3526,853,2,2209,4,0,1,1,0,0,4,9,23,38,1,4,3,1,4,0,74
3527,352,2,1069,5,0,1,1,2,3,4,0,3,48,1,1,1,1,1,1,48
3528,853,2,2911,6,0,1,2,1,0,4,8,3,1,1,2,3,1,2,0,31
3529,292,2,2469,7,0,2,2,0,4,4,6,8,75,1,2,2,1,2,1,28
3530,853,2,1250,8,0,1,1,1,0,4,6,2,76,0,1,3,1,2,0,29
3531,853,2,881,9,0,1,2,0,0,4,14,2,59,1,1,0,1,1,0,79
3532,853,2,2098,2,0,2,1,0,0,2,22,19,73,0,1,3,1,1,0,56
3533,721,2,1624,3,0,0,1,0,4,4,11,14,4,1,4,1,1,2,0,56
3534,853,2,2592,8,0,1,0,0,0,4,4,9,30,0,0,2,1,4,0,63
3535,114,2,375,6,0,1,0,2,3,4,7,9,30,0,1,2,1,4,1,28
3536,853,2,2736,9,0,0,2,2,0,4,11,6,3,0,1,2,1,2,0,34
3537,328,2,762,4,1,0,2,1,3,4,6,23,38,1,2,1,1,2,0,68
3538,850,2,831,5,1,2,2,1,2,4,7,23,30,1,0,3,1,2,1,63
3539,853,2,1389,0,0,1,2,2,0,4,9,3,38,1,2,2,1,5,0,39
3540,825,2,653,1,0,1,1,1,3,4,19,3,70,1,4,3,0,4,1,39
3541,91,2,1947,7,0,1,1,0,1,4,6,8,73,1,1,1,0,2,0,31
3542,853,2,97,2,0,0,0,2,0,4,6,8,50,1,4,1,2,1,0,74
3543,853,2,1669,3,0,2,0,2,0,4,9,2,47,0,1,2,1,2,0,41
3544,2,2,1740,8,0,0,0,2,3,4,0,2,38,1,0,2,1,2,0,22
3545,853,2,145,2,0,1,2,2,0,2,6,19,49,0,1,3,1,1,0,79
3546,554,2,1236,1,0,1,1,1,4,4,9,14,38,1,2,3,0,1,0,42
3547,853,2,2490,0,0,0,1,0,0,4,15,9,70,0,3,1,2,2,0,75
3548,486,2,2624,9,0,2,0,0,2,4,9,9,73,0,4,2,1,1,1,58
3549,692,2,2824,8,0,1,2,0,3,4,6,6,73,0,1,0,1,2,1,67
3550,368,2,1270,7,1,2,2,2,2,4,23,23,10,1,4,0,1,1,1,34
3551,853,2,2871,6,0,2,2,1,0,4,4,23,30,1,1,1,2,4,0,68
3552,33,2,1847,5,0,1,1,0,3,4,6,3,38,1,4,2,2,1,1,80
3553,853,2,2330,4,0,0,2,2,0,4,6,3,38,1,1,0,1,4,0,73
3554,853,2,2814,3,0,2,2,2,0,4,13,8,23,1,0,3,1,1,0,64
3555,94,2,686,2,0,1,2,2,2,4,10,8,26,0,2,3,1,4,0,34
3556,241,2,2514,1,0,1,1,2,3,4,23,2,78,1,4,2,0,2,1,61
3557,853,2,2873,0,0,2,2,2,0,4,6,10,53,1,3,2,1,2,0,62
3558,853,22,994,3,0,2,0,1,0,3,24,10,50,0,1,2,1,1,0,63
3559,356,22,137,4,0,2,2,0,3,3,6,10,7,1,4,2,1,2,1,31
3560,853,22,2892,3,0,0,2,0,0,3,6,10,73,0,0,0,0,4,0,68
3561,853,23,2644,0,0,2,2,2,0,3,9,10,73,0,4,1,1,5,0,63
3562,138,22,2635,1,1,0,1,0,3,3,18,10,50,0,3,2,0,2,0,68
3563,853,22,2226,9,0,0,1,0,0,3,6,10,28,1,1,3,3,4,0,76
3564,653,23,827,7,4,1,2,2,2,3,0,10,48,0,4,0,1,1,1,28
3565,853,22,826,9,0,2,1,0,0,3,9,10,48,1,3,0,1,4,0,54
3566,853,23,821,5,0,2,0,1,0,3,0,10,48,1,1,2,1,2,0,59
3567,853,22,790,2,0,1,2,0,0,3,11,10,73,1,0,3,1,4,0,56
3568,238,22,2666,2,4,1,1,1,1,3,6,10,38,1,0,0,1,2,0,48
3569,570,22,1842,3,0,2,1,2,1,3,2,10,70,0,2,0,1,2,1,27
3570,812,23,336,8,4,1,1,2,4,3,7,10,30,0,0,1,1,1,1,48
3571,416,22,864,4,4,2,2,0,2,3,6,10,30,0,4,3,1,4,0,75
3572,465,22,2566,9,0,0,0,1,3,3,7,10,30,1,4,2,1,5,1,28
3573,587,22,401,4,0,0,1,0,1,3,6,10,27,0,0,0,0,4,1,39
3574,289,22,2788,9,1,0,1,0,1,3,21,10,47,0,2,3,1,1,1,71
3575,321,22,104,3,4,2,0,2,2,3,6,10,41,1,2,2,0,5,1,35
3576,634,23,1837,5,0,1,1,0,4,3,4,10,59,0,0,2,0,4,0,30
3577,853,22,1168,0,0,2,2,2,0,3,6,10,76,1,4,3,1,4,0,65
3578,853,22,924,9,0,1,0,2,0,3,6,10,73,1,2,1,0,2,0,65
3579,853,23,2544,0,0,1,2,1,0,3,6,10,47,0,0,3,2,4,0,76
3580,853,22,1581,6,0,1,2,0,0,3,6,10,38,1,3,1,1,4,0,80
3581,793,22,2261,7,0,1,0,1,4,3,23,10,38,1,3,0,1,2,0,79
3582,617,22,920,8,0,2,1,1,3,3,24,10,47,1,0,3,1,4,1,54
3583,395,22,2691,9,0,1,2,2,3,3,6,10,19,0,4,1,2,4,1,64
3584,853,22,518,0,0,0,2,0,0,3,6,10,48,0,3,1,1,4,0,35
3585,853,22,2823,1,0,1,0,0,0,3,24,10,47,0,1,0,1,4,0,30
3586,798,22,2861,2,0,2,1,0,2,3,13,10,50,0,2,2,1,2,1,22
3587,281,22,1561,3,0,1,1,2,2,3,10,10,3,1,3,0,1,2,1,45
3588,526,22,2257,4,0,1,2,0,3,3,18,10,51,1,1,3,1,2,1,50
3589,853,22,1222,5,0,0,1,2,0,3,6,10,47,1,4,2,1,1,0,71
3590,595,22,1324,6,1,2,2,0,3,3,6,10,47,1,0,3,1,4,1,27
3591,561,22,870,7,1,0,1,1,4,3,6,10,70,0,4,1,2,5,0,24
3592,313,22,2124,8,1,0,1,0,4,3,6,10,73,1,3,2,1,3,1,24
3593,853,22,236,9,0,0,0,0,0,3,9,10,38,1,0,1,1,1,0,73
3594,853,22,246,6,0,2,1,1,0,3,6,10,73,1,1,1,2,1,0,54
3595,682,22,2187,9,0,0,0,2,2,3,4,10,73,1,3,0,1,1,1,70
3596,853,22,1383,4,0,2,2,0,0,3,19,10,73,1,3,2,2,2,0,40
3597,363,23,266,6,1,0,2,1,3,3,9,10,38,0,1,2,1,1,1,36
3598,235,23,42,7,4,2,0,0,2,3,15,10,70,0,3,1,2,1,0,72
3599,853,23,658,8,0,2,0,2,0,3,9,10,73,0,4,0,1,2,0,72
3600,853,23,310,9,0,0,1,2,0,3,6,10,73,0,4,2,1,2,0,73
3601,853,23,2385,0,0,2,1,0,0,3,23,10,10,0,4,1,1,5,0,56
3602,720,23,633,1,4,1,1,1,1,3,4,10,30,0,2,1,1,5,0,28
3603,760,23,539,2,4,1,0,1,2,3,6,10,73,0,4,1,1,2,1,45
3604,136,23,1868,3,0,2,1,0,2,3,6,10,38,0,2,0,2,4,1,74
3605,853,22,824,1,0,0,2,2,0,3,4,10,73,1,3,0,1,4,0,79
3606,113,22,952,7,4,2,2,0,1,3,1,10,30,1,3,0,1,3,0,57
3607,647,22,567,2,0,1,0,0,2,3,14,10,22,1,3,1,1,5,1,46
3608,853,22,259,3,0,1,2,1,0,3,6,10,73,1,3,1,1,3,0,43
3609,853,22,1018,8,0,0,1,0,0,3,18,10,82,0,3,3,1,3,0,29
3610,853,22,364,6,0,2,2,0,0,3,6,10,47,0,3,2,1,3,0,49
3611,853,22,1816,9,0,0,2,0,0,3,14,10,73,0,2,1,1,2,0,70
3612,853,22,2837,4,0,0,0,1,0,3,6,10,73,1,1,2,3,4,0,38
3613,853,22,1215,5,0,0,1,1,0,3,6,10,47,1,0,1,0,1,0,49
3614,552,22,599,0,0,0,1,2,4,3,14,10,35,1,4,1,1,2,1,49
3615,517,22,1757,1,1,1,1,1,3,3,9,10,50,1,0,0,0,2,1,36
3616,853,22,80,7,0,0,2,0,0,3,9,10,47,0,2,1,1,4,0,41
3617,853,22,2216,2,0,1,2,0,0,3,23,10,69,0,2,1,1,1,0,61
3618,853,22,990,3,0,2,1,2,0,3,19,10,69,1,1,1,1,3,0,78
3619,428,22,2402,8,0,1,0,0,1,3,9,10,73,1,0,1,1,3,0,38
3620,65,22,2118,6,0,2,0,2,1,3,10,10,68,1,2,1,1,2,0,28
3621,853,22,2149,9,0,0,0,0,0,3,22,10,47,1,4,1,1,2,0,25
3622,407,23,551,7,0,2,0,2,2,3,6,10,47,0,2,0,1,3,1,27
3623,853,23,903,2,0,2,0,0,0,3,4,10,30,0,0,0,1,3,0,64
3624,853,23,2767,3,0,2,1,1,0,3,20,10,30,0,0,1,1,4,0,26
3625,318,23,2686,8,4,0,1,1,2,3,4,10,30,0,0,2,1,5,1,47
3626,853,23,2148,6,0,1,1,2,0,3,6,10,38,0,0,2,1,2,0,29
3627,74,23,1323,9,4,0,2,0,2,3,6,10,70,0,1,1,1,3,1,55
3628,853,23,1942,4,0,0,1,1,0,3,4,10,73,0,2,1,1,3,0,76
3629,839,22,860,4,4,0,1,0,4,3,6,10,47,1,1,0,1,5,1,39
3630,853,22,2527,3,0,0,1,0,0,3,6,10,47,1,3,3,1,5,0,57
3631,725,22,1704,2,0,0,2,0,3,3,23,10,6,1,3,0,1,3,1,75
3632,351,22,390,1,0,0,2,0,1,3,6,10,38,1,0,1,1,3,1,77
3633,853,22,1978,0,0,0,1,2,0,3,0,10,47,0,2,2,1,5,0,35
3634,375,22,951,6,0,2,1,0,3,3,11,10,70,0,3,1,1,5,0,60
3635,853,22,2622,9,0,2,2,1,0,3,24,10,63,0,2,2,1,4,0,44
3636,853,22,1285,4,0,0,1,2,0,3,2,10,70,1,0,0,1,3,0,40
3637,853,22,1390,5,0,1,2,0,0,3,0,10,30,1,0,0,1,3,0,27
3638,853,22,998,0,0,1,2,1,0,3,6,10,44,1,2,2,1,3,0,44
3639,268,22,1873,1,1,0,2,0,3,3,6,10,63,0,2,0,1,3,1,57
3640,853,22,1042,7,0,0,0,2,0,3,6,10,38,0,0,0,1,3,0,22
3641,478,22,961,2,1,0,1,0,4,3,9,10,53,1,3,3,1,3,1,51
3642,567,22,53,3,1,0,1,0,3,3,6,10,47,1,1,2,1,3,1,44
3643,853,22,948,8,0,1,0,0,0,3,2,10,47,1,0,2,1,3,0,61
3644,853,22,2739,6,0,2,1,0,0,3,6,10,47,1,1,1,1,3,0,36
3645,853,22,392,9,0,2,2,0,0,3,9,10,73,1,0,2,1,3,0,45
3646,853,23,2487,7,0,2,0,0,0,3,19,10,69,0,2,3,1,3,0,55
3647,375,23,625,2,4,2,0,1,1,3,4,10,30,0,1,2,1,3,1,56
3648,853,23,2276,3,0,0,0,0,0,3,0,10,48,0,3,0,0,4,0,74
3649,853,23,2625,8,0,0,0,1,0,3,6,10,73,0,4,1,0,4,0,54
3650,780,23,1208,6,4,1,1,1,3,3,6,10,47,0,4,0,1,3,1,31
3651,853,23,479,9,0,1,2,0,0,3,9,10,48,0,4,2,1,3,0,31
3652,39,22,2876,4,4,2,2,1,2,3,6,10,70,1,3,1,1,3,1,76
3653,804,22,2936,5,4,0,1,1,4,3,9,10,38,1,0,3,0,3,0,27
3654,853,22,1365,6,0,2,0,1,0,3,0,10,48,1,0,0,0,4,0,27
3655,853,22,2577,7,0,2,2,0,0,3,4,10,30,1,0,1,1,3,0,24
3656,853,22,702,8,0,2,1,1,0,3,21,10,47,1,2,0,0,5,0,21
3657,853,22,543,9,0,2,2,0,0,3,9,10,37,0,1,2,1,4,0,30
3658,302,22,2738,0,0,2,2,2,1,3,14,10,73,0,1,0,1,3,0,56
3659,43,22,964,1,0,1,0,1,4,3,6,10,30,1,3,0,0,1,1,33
3660,853,22,1367,2,0,1,0,0,0,3,6,10,70,1,2,2,0,3,0,48
3661,249,22,803,3,0,0,2,2,1,3,5,10,78,1,0,1,1,3,1,70
3662,853,22,1766,4,0,1,1,2,0,3,23,10,47,1,3,1,0,2,0,49
3663,759,22,2543,5,1,2,1,0,3,3,9,10,38,0,1,2,0,3,1,45
3664,491,22,2384,6,1,1,2,1,1,3,6,10,49,0,3,3,1,3,1,66
3665,853,22,1819,7,0,1,1,2,0,3,6,10,36,1,0,1,1,3,0,37
3666,322,22,1971,8,0,1,0,0,1,3,6,10,47,1,2,2,1,3,0,66
3667,155,22,412,9,0,2,1,2,2,3,1,10,73,1,1,2,1,3,0,24
3668,0,22,555,0,0,1,2,0,4,3,21,10,53,1,0,3,2,3,0,26
3669,32,22,1480,1,4,0,0,2,3,3,8,10,18,1,1,3,1,3,0,55
3670,286,23,2889,7,0,1,0,0,2,3,1,10,30,0,2,3,2,3,0,53
3671,169,23,49,2,4,2,0,2,1,3,19,10,69,0,0,0,2,3,0,33
3672,853,23,3,3,0,2,0,0,0,3,9,10,38,0,0,0,1,3,0,31
3673,273,23,464,8,4,1,1,2,4,3,13,10,50,0,3,3,1,3,0,49
3674,610,23,2520,0,4,2,2,1,4,3,4,10,30,0,3,2,1,3,1,26
3675,819,23,1973,1,0,1,2,0,2,3,4,10,73,0,2,0,1,3,1,70
3676,853,22,624,0,0,0,1,1,0,3,24,10,8,1,1,0,1,3,0,29
3677,853,22,1919,1,0,1,0,0,0,3,6,10,70,1,2,2,1,3,0,62
3678,853,22,481,7,0,1,0,0,0,3,10,10,26,1,0,2,1,3,0,23
3679,853,22,980,2,0,1,0,0,0,3,4,10,30,1,0,0,1,3,0,33
3680,853,22,1006,3,0,2,1,0,0,3,21,10,53,0,3,0,1,3,0,37
3681,853,22,1175,8,0,2,1,2,0,3,4,10,59,0,1,3,1,3,0,46
3682,853,22,1995,6,0,1,2,2,0,3,6,10,73,0,1,2,1,4,0,79
3683,428,22,1831,9,0,2,2,2,1,3,8,10,2,1,3,0,1,3,1,67
3684,53,22,2393,4,0,0,2,1,1,3,6,10,73,1,2,3,1,3,1,68
3685,771,22,1431,5,0,1,2,0,3,3,14,10,22,1,0,3,1,3,1,36
3686,596,22,1316,0,1,2,0,0,3,3,4,10,25,1,4,2,0,1,1,24
3687,853,22,384,1,0,2,1,2,0,3,6,10,70,0,4,0,0,1,0,78
3688,752,22,1569,7,1,0,1,0,1,3,23,10,50,0,0,0,0,3,1,71
3689,853,22,1414,2,0,0,0,2,0,3,6,10,47,1,0,1,0,3,0,62
3690,267,22,15,3,0,2,0,2,4,3,24,10,47,1,4,2,2,3,1,72
3691,853,22,752,8,0,2,2,0,0,3,8,10,50,1,0,2,2,1,0,30
3692,853,22,1795,6,0,1,1,1,0,3,0,10,48,1,1,3,2,3,0,43
3693,495,23,45,7,0,2,1,2,1,3,14,10,35,0,4,1,0,2,1,45
3694,794,23,2660,2,4,1,0,1,1,3,6,10,68,0,2,1,3,4,1,61
3695,774,23,2522,3,4,0,2,2,4,3,2,10,47,0,2,0,3,4,1,33
3696,851,23,503,8,4,0,1,1,2,3,22,10,38,0,2,3,3,3,0,33
3697,853,23,606,6,0,1,0,1,0,3,6,10,73,0,3,2,3,4,0,30
3698,659,23,2523,9,0,1,0,0,1,3,2,10,38,0,2,1,3,3,0,38
3699,270,22,1527,6,4,2,1,2,1,3,4,10,30,1,0,0,3,2,1,45
3700,853,22,2902,5,0,2,0,2,0,3,23,10,70,1,2,0,3,1,0,34
3701,853,22,420,4,0,2,1,2,0,3,18,10,51,1,3,2,3,2,0,74
3702,853,22,713,3,0,2,2,1,0,3,0,10,38,1,0,2,0,3,0,46
3703,646,22,614,2,0,2,0,1,2,3,4,10,30,0,4,3,0,4,1,71
3704,4,22,230,1,0,1,2,1,1,3,6,10,8,0,0,1,0,5,1,46
3705,775,22,391,0,0,1,0,1,1,3,11,10,78,0,4,2,0,3,0,55
3706,853,22,1789,9,0,1,1,1,0,3,6,10,47,1,4,0,0,3,0,48
3707,853,22,1637,8,0,0,1,2,0,3,4,10,50,1,0,0,0,3,0,27
3708,710,22,2102,7,0,1,2,1,2,3,7,10,30,1,1,1,0,4,1,48
3709,191,22,838,6,0,1,2,1,4,3,19,10,69,1,1,0,0,5,0,53
3710,853,22,2317,5,0,1,2,1,0,3,0,10,38,0,2,2,0,1,0,62
3711,853,22,711,4,0,2,0,2,0,3,8,10,3,0,1,2,2,1,0,42
3712,98,22,573,3,1,2,2,2,3,3,6,10,73,1,0,1,2,5,1,66
3713,853,22,2063,2,0,1,1,2,0,3,11,10,4,1,2,3,1,3,0,37
3714,853,22,1717,1,0,1,1,1,0,3,6,10,47,1,4,1,1,4,0,57
3715,853,22,761,0,0,0,0,0,0,3,14,10,22,1,1,3,1,4,0,46
3716,263,23,725,7,4,1,0,0,4,3,9,10,47,0,1,1,1,1,0,29
3717,853,23,2473,2,0,0,1,0,0,3,6,10,68,0,0,1,1,2,0,30
3718,184,23,594,3,4,0,2,2,4,3,6,10,28,0,3,1,1,4,1,76
3719,853,23,756,8,0,0,1,0,0,3,21,10,47,0,2,0,1,3,0,75
3720,499,23,158,6,0,2,1,0,2,3,6,10,47,0,4,2,1,3,1,64
3721,558,22,1811,4,0,1,1,0,2,3,7,10,30,1,1,3,1,2,1,62
3722,663,22,64,5,4,2,1,0,1,3,6,10,47,1,4,1,1,2,1,75
3723,725,22,2435,0,4,1,0,2,3,3,23,10,47,1,0,1,1,3,1,50
3724,704,22,85,1,4,2,2,2,3,3,6,10,47,1,0,0,1,4,1,53
3725,195,22,2617,7,0,0,1,1,4,3,0,10,48,1,0,3,1,1,0,67
3726,464,22,2481,2,0,0,0,0,4,3,9,10,48,0,3,1,1,4,1,27
3727,853,22,618,3,0,2,2,2,0,3,6,10,70,0,3,0,1,3,0,78
3728,853,22,2680,8,0,0,0,1,0,3,19,10,47,1,2,0,1,5,0,55
3729,268,22,2159,0,0,0,1,1,4,3,23,10,70,1,3,0,1,3,0,80
3730,853,22,2562,1,0,0,1,2,0,3,7,10,30,1,1,3,1,4,0,57
3731,11,22,1682,2,0,2,1,1,3,3,6,10,30,1,2,2,1,3,1,24
3732,853,22,489,3,0,2,1,1,0,3,6,10,73,1,1,3,1,5,0,68
3733,753,22,785,4,1,0,2,1,3,3,6,10,28,0,2,2,1,3,1,28
3734,853,22,1953,5,0,1,2,2,0,3,20,10,30,1,4,0,1,3,0,58
3735,853,22,1370,6,0,0,2,2,0,3,22,10,59,1,4,1,1,1,0,59
3736,785,22,1686,7,0,1,0,1,2,3,23,10,47,1,3,1,1,2,0,46
3737,853,22,1384,8,0,2,1,1,0,3,13,10,25,1,2,0,1,5,0,76
3738,324,23,2640,7,4,1,0,2,1,3,9,10,48,0,2,3,1,3,0,22
3739,825,23,2290,2,4,1,1,2,4,3,6,10,76,0,0,0,1,3,1,71
3740,107,23,556,3,4,1,2,1,4,3,13,10,45,0,3,2,1,4,0,21
